,id,utterance,speaker,context,context_speakers,show,sarcasm
14,1_467,"['woman', 'look', 'exactly', 'like', 'picture', 'princess', 'panchali', 'book', 'often', 'one', 'see', 'beloved', 'fictional', 'character', 'come', 'life']",sheldon,"[['little', 'boy', 'get', 'sick', 'time', 'mother', 'would', 'read'], ['indian', 'princess', 'befriends', 'monkey', 'mocked', 'monkey', 'different'], ['reason', 'related', 'quite', 'strongly'], ['know', 'reason'], ['know', 'reason'], ['sheldon', 'get']]","['sheldon', 'sheldon', 'sheldon', 'penny', 'leonard', 'leonard']",0,0
15,1_506,"['mention', 'youd', 'power', 'saturday']",sheldon,"[['im', 'make', 'sure', 'im', 'synthetic', 'human', 'id', 'still', 'jewish'], ['promise', 'mother'], ['suppose', 'could', 'android', 'penis', 'circumcise'], ['thats', 'something', 'rabbi', 'would', 'discus', 'manufacturer']]","['howard', 'howard', 'raj', 'raj']",0,0
16,1_507,"['well', 'there', 'always', 'possibility', 'trash', 'spontaneously', 'form', 'around', 'letter', 'occam', 'rasor', 'would', 'suggest', 'someone', 'threw']",sheldon,"[['promise', 'mother'], ['suppose', 'could', 'android', 'penis', 'circumcise'], ['thats', 'something', 'rabbi', 'would', 'discus', 'manufacturer'], ['mention', 'youd', 'power', 'saturday'], ['sheldon', 'letter', 'trash']]","['howard', 'raj', 'raj', 'sheldon', 'leonard']",0,1
17,1_533,"['technically', 'yes', 'youll', 'notice', 'reversible']",leonard,"[['costume', 'flight', 'suit'], ['ok', 'alright', 'move'], ['oh', 'wow', 'paisley', 'shirt'], ['go', 'corduroy', 'suit'], ['mean', 'end', 'place', 'agree'], ['tie']]","['leonard', 'penny', 'penny', 'leonard', 'penny', 'penny']",0,0
18,1_536,"['late', 'copy', 'apply', 'particle', 'physic', 'quarterly']",sheldon,"[['hey', 'sheldon'], ['hello', 'penny'], ['get', 'anything', 'good']]","['penny', 'sheldon', 'penny']",0,1
19,1_537,"['oh', 'know', 'weird', 'come', 'mine', 'didnt']",penny,"[['hey', 'sheldon'], ['hello', 'penny'], ['get', 'anything', 'good'], ['late', 'copy', 'apply', 'particle', 'physic', 'quarterly']]","['penny', 'sheldon', 'penny', 'sheldon']",0,1
20,1_672,"['think', 'penny', 'come', 'take', 'care', 'u']",sheldon,"[['want', 'grill', 'cheese']]",['sheldon'],0,0
21,1_971,"['tongue', 'swollen', 'size', 'brisket']",howard,"[['take'], ['whats', 'matter'], ['granola', 'bar', 'peanut'], ['oh', 'god', 'eat'], ['dont', 'know'], ['gun', 'would', 'shot'], ['dont', 'yell', 'ive', 'get', 'go', 'emergency', 'room']]","['leonard', 'leonard', 'howard', 'leonard', 'howard', 'leonard', 'howard']",0,1
22,1_1001,"['else', 'sell', 'ebay', 'slightly', 'use']",raj,"[['maybe', 'doesnt', 'want', 'talk'], ['look', 'found', 'ipod'], ['smash', 'beyond', 'repair', 'gonna']]","['sheldon', 'raj', 'howard']",0,0
23,1_1003,"['good', 'idea', 'sit', 'hold', 'comfort', 'moment', 'feel', 'right', 'see', 'cop', 'feel']",howard,"[['smash', 'beyond', 'repair', 'gonna'], ['else', 'sell', 'ebay', 'slightly', 'use'], ['penny', 'boyfriend', 'broke'], ['apparently', 'post', 'intimate', 'detail', 'physical', 'relationship', 'blog', 'cannot', 'find', 'anywhere'], ['im', 'gonna', 'go', 'back', 'try', 'talk']]","['howard', 'raj', 'leonard', 'howard', 'leonard']",0,1
24,1_1144,"['notify', 'editor', 'oxford', 'english', 'dictionary', 'word', 'plenty', 'redefine', 'mean', 'two']",sheldon,"[['say', 'youve', 'hold', 'back'], ['course', 'respect'], ['explain', 'ten', 'year', 'penny'], ['respect'], ['well', 'ive', 'date', 'plenty', 'woman'], ['joyce', 'kim', 'leslie', 'winkle']]","['howard', 'leonard', 'howard', 'raj', 'leonard', 'leonard']",0,1
25,1_1180,"['oh', 'please', 'way', 'could', 'make', 'contribution', 'science', 'would', 'resume', 'send', 'chimp', 'space']",sheldon,"[['pastry', 'bear', 'claw'], ['yeah', 'sure'], ['dont', 'like', 'bear', 'claw'], ['hey', 'penny'], ['dumbass'], ['leslie', 'winkle'], ['overrate', 'physicist', 'lab', 'world', 'leslie', 'winkle'], ['lot', 'common', 'mean', 'theyre', 'scientist']]","['sheldon', 'penny', 'sheldon', 'person', 'person', 'sheldon', 'sheldon', 'penny']",0,1
26,1_1185,"['think', 'tonight', 'good', 'start']",leonard,"[['im', 'sorry', 'sheldons', 'interruption', 'bit', 'eccentric'], ['eccentric', 'mean', 'passiveaggressive', 'east', 'texas', 'blowhole', 'agree']]","['leonard', 'person']",0,0
27,1_1189,"['im', 'sorry', 'go', 'back', 'renaissance', 'fair']",sheldon,"[['thats', 'enough'], ['call'], ['right'], ['okay', 'good', 'night'], [''], ['great', 'time', 'ciao']]","['person1', 'person1', 'leonard', 'penny', 'person2', 'penny']",0,0
28,1_1262,"['clear', 'everyone', 'else', 'table']",sheldon,"[['leonard', 'tom'], ['hi', 'tom', 'sheldon'], ['didnt', 'explain', 'little', 'mistake', 'cafeteria']]","['sheldon', 'leonard', 'leonard']",0,0
29,1_1296,"['give', 'assistant', 'want', 'new', 'pen', 'go', 'bank', 'wire', 'cutter']",howard,"[['theyre', 'go', 'digitally', 'add', 'supernova', 'say', 'perfect', 'metaphor', 'incandescent', 'talent'], ['right', 'ball', 'hot', 'flame', 'gas', 'collapse', 'upon'], ['excuse', 'oh', 'assistant', 'trevor'], ['go', 'koothrappali']]","['raj', 'sheldon', 'raj', 'raj']",0,1
30,1_1466,"['maybe', 'publish', 'ill', 'include', 'inhaler']",sheldon,"[['excuse', 'dr', 'cooper', 'im', 'kathy', 'obrien'], ['finish', 'reading', 'paper', 'reconcile', 'black', 'hole', 'information', 'paradox', 'theory', 'stringnetwork', 'condensate', 'take', 'breath', 'away']]","['person', 'person']",0,1
31,1_1470,"['dont', 'know', 'die', 'im', 'get', 'bunch', 'static']",penny,"[['hey', 'guy', 'need', 'use', 'tv'], ['whats', 'wrong', 'tv']]","['penny', 'sheldon']",0,0
32,1_1478,"['sadly', 'mr', 'giselle', 'wolowitz', 'sensitive', 'chlorine', 'lucky', 'like', 'fashion', 'model', 'pruny', 'bugeyed']",howard,"[['miss', 'anything', 'kick', 'giselle'], ['yet', 'underwater', 'photo', 'shoot', 'embarrassment']]","['leonard', 'raj']",0,1
33,1_1484,"['big', 'deal', 'nobody', 'touch', 'food', 'plate']",sheldon,"[['touch', 'my…'], ['penny', 'penny'], ['would'], ['dont', 'know', 'hungry', 'whats', 'big', 'deal']]","['sheldon', 'howard', 'sheldon', 'penny']",0,0
34,1_1549,"['dusty', 'highway', 'outside', 'bakersfield', 'think', 'mar']",howard,"[['least', 'stipulate', 'star', 'trek', 'iv', 'voyage', 'home', 'inarguably', 'best'], ['three', 'word', 'wrath', 'khan'], ['thank', 'god', 'youre'], ['whats', 'emergency'], ['get', 'mar', 'rover', 'stuck', 'ditch'], ['']]","['sheldon', 'raj', 'howard', 'leonard', 'howard', 'sheldon']",0,1
35,1_1560,"['nice', 'maybe', 'carpool', 'visit', 'federal', 'prison']",sheldon,"[['friend', 'leonard', 'gonna', 'take', 'home'], ['okay', 'let', 'go', 'friend', 'leonard'], ['ill', 'call', 'ya'], ['scientist', 'like', 'howard'], ['one', 'scientist', 'like', 'howard'], ['mother', 'gonna', 'love']]","['howard', 'person', 'howard', 'person', 'leonard', 'howard']",0,1
36,1_1627,"['think', 'discreetly', 'slip', 'earring', 'put', 'pocket', 'get', 'hell']",person,"[['stand', 'around', 'look', 'postop', 'x', 'ray', 'clear', 'day', 'right', 'guy', 'chest', 'cavityone', 'earring'], ['oh', 'god']]","['person', 'leonard']",0,0
37,1_1638,"['blunt', 'instrument', 'focus', 'murder', 'trial']",leonard,"[['sheldon', 'sheldon', 'sheldon'], ['tell', 'see']]","['leonard', 'sheldon']",0,1
38,1_1666,"['would', 'work', 'punch', 'face']",leonard,"[['establish', 'alpha', 'male'], ['see', 'female', 'witness', 'exhibition', 'physical', 'domination', 'produce', 'hormone', 'oxytocin'], ['two', 'engage', 'intercourse', 'create', 'biochemical', 'reaction', 'brain', 'lay', 'people', 'naively', 'interpret', 'fall', 'love'], ['huh']]","['sheldon', 'sheldon', 'sheldon', 'leonard']",0,0
39,1_1678,"['answer', 'question', 'wolowitz', 'bail', 'medical', 'school']",raj,"[['open'], ['see', 'stitch'], ['sure']]","['leonard', 'raj', 'leonard']",0,0
40,1_1722,"['aunt', 'marion', 'give', 'th', 'birthday']",sheldon,"[[''], ['hang', 'little', 'high'], ['attribute', 'stress', 'sneak', 'past', 'security', 'desk'], ['get', 'stethoscope', 'blood', 'pressure', 'cuff']]","['person', 'sheldon', 'sheldon', 'person']",0,0
41,1_1732,"['right', 'larynx', 'terribly', 'inflame', 'ive', 'never', 'see', 'anything', 'like']",person,"[['oh'], ['']]","['person', 'sheldon']",0,1
42,1_1772,"['dave', 'sound', 'like', 'leonard', 'get', 'new', 'bff']",howard,"[['always', 'doovers', 'people', 'play', 'sport'], ['thats', 'important', 'wii', 'bowling', 'night'], ['actually'], ['rhetorical', 'nothing', 'important', 'wii', 'bowling', 'night'], ['come', 'video', 'game', 'suck'], ['nice', 'motivational', 'speech', 'team', 'captain'], ['']]","['howard', 'sheldon', 'leonard', 'sheldon', 'leonard', 'sheldon', 'sheldon']",0,1
43,1_1798,"['dont', 'like', 'stuff', 'let', 'go', 'next', 'door', 'build', 'bear']",raj,"[['youre', 'kid', 'youve', 'get', 'lotion', 'bath', 'oil', 'soap', 'thats', 'estrogen', 'hat', 'trick'], ['cacophonous', 'assault', 'eucalyptus', 'bayberry', 'cinnamon', 'vanilla'], ['head', 'trap', 'pajama', 'sultan']]","['howard', 'sheldon', 'sheldon']",0,1
44,1_1803,"['maybe', 'heard', 'wrong', 'lot', 'word', 'sound', 'like', 'yoga']",leonard,"[['leonard', 'come', 'join', 'u'], ['hey', 'dave', 'penny', 'surprise'], ['dave', 'show', 'around', 'university', 'place', 'unbelievable'], ['know', 'ive', 'offering', 'show', 'around', 'year', 'half', 'always', 'say', 'yoga']]","['person', 'leonard', 'penny', 'leonard']",0,1
45,1_1931,"['dont', 'lie', 'floor', 'swim']",leonard,"[['go'], ['youre', 'drive', 'mall'], ['im', 'go', 'acquire', 'book', 'summarizes', 'current', 'theory', 'field', 'friendmaking']]","['leonard', 'sheldon', 'sheldon']",0,1
46,1_1973,"['hope', 'im', 'waitress', 'cheesecake', 'factory', 'whole', 'life']",penny,"[['ask'], [''], ['course', 'thats', 'move', 'conversation', 'forward'], [''], ['learn', 'opportunity', 'would', 'abundant'], ['additionally', 'like', 'belly', 'scratch']]","['sheldon', 'leonard', 'sheldon', 'leonard', 'sheldon', 'sheldon']",0,1
47,1_1987,"['didnt', 'pay', 'bill', 'department', 'water', 'power', 'thought', 'would', 'enjoy', 'ambience']",penny,"[['hey'], ['hey'], ['little', 'mood', 'light', 'huh']]","['leonard', 'penny', 'leonard']",0,1
48,1_2075,"['there', 'hurry', 'tell', 'secret', 'love']",leonard,"[['say'], ['thats', 'basically', 'say'], ['brought', 'husband', 'work', 'know', 'rule'], ['mesa', 'think', 'yousa', 'look', 'pretty', 'sad', 'betcha', 'betcha'], ['leonard', 'werent', 'go', 'show', 'laboratory']]","['howard', 'howard', 'leonard', 'leonard', 'person']",0,0
49,1_2119,"['kind', 'make', 'feel', 'alive', 'doesnt']",person,"[['wait', 'capture', 'kill'], ['thats', 'bad', 'part', 'wait'], ['know', 'there', 'paint', 'pellet', 'name'], ['big', 'wet', 'ball', 'death']]","['howard', 'person', 'howard', 'person']",0,1
50,1_2198,"['assume', 'keep', 'pace', 'three', 'hour', 'minute', 'plus', 'however', 'long', 'take', 'conclude', 'fairly', 'pointless', 'conversation']",sheldon,"[['see', 'attach', 'rfid', 'tag', 'clothing', 'enable', 'laptop', 'read', 'identify', 'item', 'wand'], ['crossreference', 'destination', 'anticipate', 'activity', 'spectrum', 'weather', 'condition', 'duration', 'trip', 'et', 'cetera'], ['sound', 'much', 'simpler'], ['long', 'go', 'take']]","['sheldon', 'sheldon', 'leonard', 'leonard']",0,1
51,1_2216,"['excuse', 'dont', 'get', 'shot']",leonard,"[['unlike', 'actually', 'talk', 'woman', 'im', 'sober'], ['fail', 'take', 'account', 'even', 'mute', 'foreign', 'exotic', 'hand', 'frail', 'pasty'], ['know', 'old', 'say', 'pasty', 'frail', 'never', 'fail']]","['howard', 'raj', 'howard']",0,0
52,1_2354,"['cocaine', 'smuggler', 'write', 'cocaine', 'box']",sheldon,"[['theyre'], ['stay', 'calm', 'dont', 'know', 'anything', 'yet'], [''], ['im', 'check', 'musical', 'instrument'], ['sound', 'like', 'castanets'], ['box', 'say', 'kitchen']]","['sheldon', 'leonard', 'leonard', 'sheldon', 'sheldon', 'leonard']",0,1
53,1_2361,"['thank', 'much', 'give', 'opportunity', 'help']",leonard,"[['thanks', 'much', 'help']]",['person'],0,0
54,1_2420,"['know', 'go', 'night', 'dont', 'come', 'u']",leonard,"[['pick', 'career', 'without', 'know', 'aptitude', 'pick', 'new', 'breakfast', 'cereal', 'without', 'know', 'fiber', 'requirement'], ['feeling', 'little', 'marshmallow'], ['spiderman', 'get', 'spiderman'], ['amaze', 'spiderman', 'ultimate', 'spiderman', 'spectacular', 'spiderman', 'marvelous', 'adventure', 'spiderman', 'spiderman'], ['know', 'go', 'night']]","['sheldon', 'sheldon', 'penny', 'sheldon', 'penny']",0,0
55,1_2423,"['provide', 'already', 'read', 'familiar', 'reestablishment', 'dc', 'multiverse']",sheldon,"[['everybodys', 'star'], ['dont', 'worry', 'theyre', 'scar'], ['unlikely'], ['one', 'nephew'], ['superb', 'choice'], ['oh', 'great']]","['penny', 'leonard', 'penny', 'penny', 'sheldon', 'penny']",0,0
56,1_2464,"['think', 'coffee', 'mean', 'coffee', 'sweet']",penny,"[['come', 'think', 'nice', 'captain', 'sweatpants', 'show', 'art', 'opening'], ['yeah', 'would', 'nicer', 'hadnt', 'touch', 'cheese'], ['know', 'kind', 'early', 'want', 'maybe', 'come', 'coffee'], ['gee', 'little', 'late', 'coffee', 'isnt']]","['penny', 'person', 'penny', 'person']",0,1
57,1_2575,"['dont', 'really', 'believe', 'superstition']",sheldon,"[['thing', 'hold', 'hearty', 'potatobased', 'diet'], ['feel', 'terrible'], ['maybe', 'help', 'youd', 'feel', 'well'], ['deliberately', 'try', 'sabotage', 'stuart', 'date', 'penny'], ['course', 'feel', 'terrible', 'completely', 'screw', 'karma']]","['howard', 'leonard', 'howard', 'leonard', 'raj']",0,0
58,1_2580,"['okay', 'here', 'idea', 'change', 'name', 'go', 'live', 'cousin', 'husband', 'avi', 'israel']",howard,"[['actually', 'elegant', 'system', 'know', 'go', 'around', 'come', 'around'], ['speak', 'go', 'around', 'come', 'around'], ['okay', 'look', 'instead', 'try', 'reinforce', 'structure', 'ran', 'another', 'line', 'bypass', 'entirely'], ['wont', 'work', 'diameter', 'tube', 'insufficient'], ['reposition', 'collection', 'tank'], ['wont', 'work', 'way', 'mount']]","['raj', 'howard', 'raj', 'sheldon', 'raj', 'sheldon']",0,1
59,1_2614,"['hardly', 'day', 'go', 'dont', 'think']",leonard,"[['go', 'president', 'seiberts', 'house', 'middle', 'night'], ['didnt', 'respond', 'email', 'phone', 'number', 'unlisted', 'tell', 'option'], ['could', 'wait', 'morning'], ['know', 'look', 'im', 'talk'], ['remember', 'grant', 'proposal', 'submit', 'national', 'science', 'foundation', 'detect', 'slowmoving', 'monopoles', 'magnetic', 'north', 'pole']]","['leonard', 'sheldon', 'leonard', 'leonard', 'sheldon']",0,1
60,1_2616,"['sure', 'maybe', 'tableau', 'try', 'pummel', 'death']",leonard,"[['course', 'im', 'theoretical', 'physicist', 'career', 'chose', 'small', 'part', 'indoors', 'im', 'able', 'detect', 'slowmoving', 'magnetic', 'monopoles', 'scientis', 'confirm', 'string', 'theory'], ['people', 'write', 'book'], ['thirdgraders', 'create', 'macaroniart', 'diorama', 'depict', 'scene', 'life']]","['sheldon', 'sheldon', 'sheldon']",0,1
61,1_2664,"['terrific', 'dont', 'think', 'penny', 'want', 'go']",leonard,"[['dont', 'think', 'go', 'north', 'pole'], ['know', 'youre', 'concerned', 'disappoint', 'want', 'take', 'comfort', 'knowledge', 'expectation', 'low'], ['yeah', 'thats', 'comfort'], ['comfort', 'part', 'leadership', 'part', 'care', 'burden']]","['leonard', 'sheldon', 'leonard', 'sheldon']",0,0
62,1_2669,"['mean', 'say', 'go', 'miss']",leonard,"[['time'], ['im', 'sorry', 'early', 'leave', 'soon', 'need', 'talk']]","['penny', 'leonard']",0,0
63,1_2778,"['ooh', 'big', 'talk', 'man', 'treed', 'chicken']",raj,"[['dont', 'push', 'sheldon', 'may', 'small', 'take', 'kung', 'fu', 'remember', 'good', 'deal'], ['oh', 'really'], ['well', 'grow', 'old', 'brother', 'contentious', 'twin', 'sister'], ['believe', 'could', 'easily', 'best', 'physical', 'confrontation', 'noogies', 'swirlies', 'classic', 'hit']]","['howard', 'sheldon', 'sheldon', 'sheldon']",0,1
64,1_2792,"['mean', 'always', 'go', 'back', 'friend']",penny,"[['like', 'mr', 'riley', 'chicken'], ['whats', 'mr', 'riley', 'chicken'], ['chicken', 'own', 'mr', 'riley'], ['okay', 'forget', 'chicken'], ['well', 'wish', 'could'], ['may', 'right', 'leonard'], ['course', 'im', 'right', 'odds', 'id', 'wrong', 'twice', 'one', 'week']]","['sheldon', 'penny', 'sheldon', 'penny', 'sheldon', 'penny', 'sheldon']",0,0
65,1_2797,"['ical', 'download', 'put', 'right', 'phone']",sheldon,"[['alright', 'want', 'french', 'toast'], ['oatmeal', 'day'], ['tell', 'next', 'french', 'toast', 'day', 'ill', 'make', 'oatmeal'], ['dear', 'lord', 'still', 'go', 'french', 'toast', 'day'], ['morning'], ['look', 'leonard', 'penny', 'make', 'french', 'toast'], ['sorry', 'havent', 'give', 'schedule', 'yet']]","['penny', 'sheldon', 'penny', 'sheldon', 'leonard', 'sheldon', 'leonard']",0,1
66,1_2819,"['know', 'ive', 'always', 'want', 'go', 'goth', 'nightclub']",sheldon,"[['howard'], ['theyre', 'call', 'tattoo', 'sleeve', 'look'], ['get', 'online', 'raj', 'get', 'set'], ['fantastic', 'right'], ['put', 'hot', 'sex', 'freaky', 'girl', 'business', 'pierce', 'take', 'still', 'bury', 'jewish', 'cemetery']]","['leonard', 'howard', 'howard', 'howard', 'howard']",0,1
67,1_2830,"['im', 'behind', 'wikireading', 'im', 'kind', 'john', 'grisham', 'kick', 'right']",raj,"[['think', 'fitting', 'quite', 'nicely'], ['itd', 'help', 'werent', 'drinking', 'light', 'beer'], ['whats', 'gothic', 'vodka', 'cranberry', 'juice'], ['hello', 'look', 'like', 'blood'], ['even', 'read', 'wiki', 'link', 'sent', 'goth']]","['raj', 'howard', 'raj', 'howard', 'howard']",0,0
68,1_2837,"['chocolate', 'dont', 'want', 'chocolate']",leonard,"[['youll', 'never', 'guess', 'get', 'replace', 'work'], ['okay', 'know', 'youre'], ['really'], ['yes', 'youre', 'use', 'chocolate', 'positive', 'reinforcement', 'consider', 'correct', 'behaviour', 'good']]","['leonard', 'sheldon', 'leonard', 'sheldon']",0,0
69,1_2842,"['oh', 'know', 'goth', 'stuff', 'goth', 'magazine', 'goth', 'music']",howard,[['guy']],['person'],0,0
70,1_2853,"['obviously', 'waitress', 'cheese', 'cake', 'factory', 'complex', 'socioeconomic', 'activity', 'require', 'great', 'deal', 'analysis', 'planning']",sheldon,"[['god', 'didnt'], ['could', 'possibly', 'talk', 'long']]","['penny', 'leonard']",0,1
71,1_3064,"['enough', 'destroy', 'human', 'toast', 'battlestar', 'know', 'galactica']",sheldon,"[['go', 'stop', 'make', 'cylon', 'toast']]",['leonard'],0,1
72,1_3069,"['seem', 'like', 'awful', 'lot', 'trouble', 'go', 'intercourse']",sheldon,"[['correct', 'assume', 'attempt', 'accepted', 'penny', 'peer', 'base', 'desire', 'ensure', 'continue', 'mating', 'privilege'], ['well', 'wouldnt', 'put', 'exactly', 'way'], ['would', 'put'], ['yeah', 'okay', 'like', 'say']]","['sheldon', 'leonard', 'sheldon', 'leonard']",0,0
73,1_3125,"['dump', 'shell', 'new', 'boyfriend', 'tomorrow', 'morning', 'youll', 'new', 'girlfriend', 'figure', 'build', 'one']",howard,"[['let', 'ask', 'something'], ['think', 'okay', 'penny', 'exboyfriend', 'sleep', 'couch'], ['mean', 'shes', 'obviously', 'way', 'line'], ['thank']]","['leonard', 'leonard', 'howard', 'leonard']",0,1
74,1_3177,"['great', 'movie', 'look', 'beautiful', 'desert']",raj,"[['west', 'coast', 'feed', 'hbo'], ['oohreal', 'sex'], ['big', 'deal', 'every', 'time', 'watch', 'show', 'old', 'woman', 'put', 'condom', 'cucumber'], ['rightlets', 'see', 'whats', 'east', 'coast', 'feed'], ['dune']]","['raj', 'howard', 'raj', 'leonard', 'raj']",0,0
75,1_3204,"['right', 'good', 'sweety', 'meaty', 'time']",raj,"[['anything'], ['last', 'pudding', 'cup'], ['slim', 'jims'], ['thats', 'use', 'eat', 'pudding', 'remember']]","['howard', 'leonard', 'howard', 'leonard']",0,0
76,1_3256,"['im', 'sorry', 'fiddle', 'bathtub', 'real', 'class', 'act']",person,"[['nice', 'could', 'join', 'even'], ['youre', 'look', 'lovely', 'always'], ['thanks', 'howard', 'always', 'nice', 'part', 'masturbatory', 'fantasy'], ['come', 'katee', 'dont', 'make', 'sound', 'cheap']]","['howard', 'howard', 'person', 'howard']",0,1
